SizeGroup,Rating,Radius,Degreee
LargeSize,4.0382,3,0
LargeSize,4.0382,3,1
LargeSize,4.0382,3,2
LargeSize,4.0382,3,3
LargeSize,4.0382,3,4
LargeSize,4.0382,3,5
LargeSize,4.0382,3,6
LargeSize,4.0382,3,7
LargeSize,4.0382,3,8
LargeSize,4.0382,3,9
LargeSize,4.0382,3,10
LargeSize,4.0382,3,11
LargeSize,4.0382,3,12
LargeSize,4.0382,3,13
LargeSize,4.0382,3,14
LargeSize,4.0382,3,15
LargeSize,4.0382,3,16
LargeSize,4.0382,3,17
LargeSize,4.0382,3,18
LargeSize,4.0382,3,19
LargeSize,4.0382,3,20
LargeSize,4.0382,3,21
LargeSize,4.0382,3,22
LargeSize,4.0382,3,23
LargeSize,4.0382,3,24
LargeSize,4.0382,3,25
LargeSize,4.0382,3,26
LargeSize,4.0382,3,27
LargeSize,4.0382,3,28
LargeSize,4.0382,3,29
LargeSize,4.0382,3,30
LargeSize,4.0382,3,31
LargeSize,4.0382,3,32
LargeSize,4.0382,3,33
LargeSize,4.0382,3,34
LargeSize,4.0382,3,35
LargeSize,4.0382,3,36
LargeSize,4.0382,3,37
LargeSize,4.0382,3,38
LargeSize,4.0382,3,39
MiddleSize,3.6516,2,0
MiddleSize,3.6516,2,1
MiddleSize,3.6516,2,2
MiddleSize,3.6516,2,3
MiddleSize,3.6516,2,4
MiddleSize,3.6516,2,5
MiddleSize,3.6516,2,6
MiddleSize,3.6516,2,7
MiddleSize,3.6516,2,8
MiddleSize,3.6516,2,9
MiddleSize,3.6516,2,10
MiddleSize,3.6516,2,11
MiddleSize,3.6516,2,12
MiddleSize,3.6516,2,13
MiddleSize,3.6516,2,14
MiddleSize,3.6516,2,15
MiddleSize,3.6516,2,16
MiddleSize,3.6516,2,17
MiddleSize,3.6516,2,18
MiddleSize,3.6516,2,19
MiddleSize,3.6516,2,20
MiddleSize,3.6516,2,21
MiddleSize,3.6516,2,22
MiddleSize,3.6516,2,23
MiddleSize,3.6516,2,24
MiddleSize,3.6516,2,25
MiddleSize,3.6516,2,26
MiddleSize,3.6516,2,27
MiddleSize,3.6516,2,28
MiddleSize,3.6516,2,29
MiddleSize,3.6516,2,30
MiddleSize,3.6516,2,31
MiddleSize,3.6516,2,32
MiddleSize,3.6516,2,33
MiddleSize,3.6516,2,34
MiddleSize,3.6516,2,35
MiddleSize,3.6516,2,36
LightSize,3.2886,1,0
LightSize,3.2886,1,1
LightSize,3.2886,1,2
LightSize,3.2886,1,3
LightSize,3.2886,1,4
LightSize,3.2886,1,5
LightSize,3.2886,1,6
LightSize,3.2886,1,7
LightSize,3.2886,1,8
LightSize,3.2886,1,9
LightSize,3.2886,1,10
LightSize,3.2886,1,11
LightSize,3.2886,1,12
LightSize,3.2886,1,13
LightSize,3.2886,1,14
LightSize,3.2886,1,15
LightSize,3.2886,1,16
LightSize,3.2886,1,17
LightSize,3.2886,1,18
LightSize,3.2886,1,19
LightSize,3.2886,1,20
LightSize,3.2886,1,21
LightSize,3.2886,1,22
LightSize,3.2886,1,23
LightSize,3.2886,1,24
LightSize,3.2886,1,25
LightSize,3.2886,1,26
LightSize,3.2886,1,27
LightSize,3.2886,1,28
LightSize,3.2886,1,29
LightSize,3.2886,1,30
LightSize,3.2886,1,31
LightSize,3.2886,1,32
